UF;CIDADE;IBGE;POPULAÇÃO;VALOR_TOTAL_PREVISTO;STATUS;PONTOS_ATENDIDOS;VALOR_INVESTIDO
PE;Itambé;2607653;36278;910.778,44;Sem Previsão;38;75.213,50
PE;Lagoa Grande;2608750;24757;560.139,77;Sem Previsão;21;0
PE;Machados;2609105;15313;584.854,35;Sem Previsão;20;0
PE;Moreilândia;2614303;11242;591.799,01;Sem Previsão;20;0
PE;Santa Cruz;2411205;38924;471.426,07;Sem Previsão;15;0
PE;Tupanatinga;2615805;26454;562.734,60;Sem Previsão;25;0
PE;Tuparetama;2615904;8149;409.294,75;Sem Previsão;18;0
PE;Vicência;2616308;32157;413.073,29;Sem Previsão;12;41.107,50
PI;Canto do Buriti;2202307;20700;813.893,10;Sem Previsão;22;0
PI;Coronel José Dias;2202851;4602;229.836,98;Sem Previsão;7;0
PI;Curimatá;2203206;11121;738.588,14;Sem Previsão;18;0
PI;Inhuma;2204709;15044;499.010,00;Concluída;16;0
PI;Joca Marques;2205458;5308;340.013,39;Sem Previsão;9;34.001,34
PI;Júlio Borges;2205524;5510;381.318,38;Sem Previsão;14;0
PI;Luís Correia;2205706;29558;824.906,65;Sem Previsão;21;0
PI;Nossa Senhora de Nazaré;2206753;4747;240.826,43;Sem Previsão;8;24.082,64
PI;Nossa Senhora dos Remédios;2206803;8491;444.251,27;Sem Previsão;15;44.425,13
PI;Oeiras;2207009;36329;945.054,68;Sem Previsão;18;78.965,00
PI;Pedro II;2207900;38055;1.171.791,75;Sem Previsão;35;226.142,27
PI;Regeneração;2208809;17697;598.959,00;Concluída;20;0
PI;Ribeira do Piauí;2208874;4381;242.612,50;Sem Previsão;8;0
PI;São João da Fronteira;2209872;5898;410.240,33;Sem Previsão;12;41.024,03
PI;São José do Divino;2210052;5246;324.598,35;Concluída;9;0
PI;Sebastião Barros;2210623;3455;235.679,98;Sem Previsão;9;0
PI;Socorro do Piauí;2210904;4512;288.380,56;Sem Previsão;10;0
PI;Várzea Branca;2211357;4889;261.639,58;Sem Previsão;7;26.145,00
PR;Assis Chateaubriand;4102000;34027;679.270,00;Concluída;24;388.840,00
PR;Bandeirantes;4102406;32639;279.409,70;Em andamento;7;0
PR;Ibaiti;4109708;30678;876.774,62;Sem Previsão;37;0
PR;Ibiporã;4109807;52330;466.649,65;Concluída;11;393.175,34
PR;Imbituva;4110102;31055;730.635,37;Sem Previsão;16;73.063,54
PR;Jacarezinho;4111803;40243;1.097.593,40;Sem Previsão;25;0
PR;Jaguariaíva;4112009;34468;1.289.645,04;Sem Previsão;40;0
PR;Palmas;1721000;272726;875.603,00;Concluída;28;800.518,00
PR;Pinhão;2805208;6440;916.825,30;Sem Previsão;32;0
PR;Piraí do Sul;4119400;24953;785.249,01;Sem Previsão;23;0
PR;Quatro Barras;4120804;22048;509.908,95;Concluída;14;191.140,00
PR;Reserva;4121703;26522;671.768,65;Sem Previsão;24;0
PR;Santa Cecília do Pavão;4123204;3597;270.085,77;Concluída;6;204.232,98
PR;Santo Antônio da Platina;4124103;45299;1.067.635,12;Sem Previsão;21;0
PR;São Mateus do Sul;4125605;44594;1.306.948,03;Sem Previsão;29;0
PR;São Miguel do Iguaçu;4125704;27197;781.824,00;Concluída;28;452.400,00
PR;Toledo;3169109;6153;680.553,70;Concluída;23;650.546,40
RJ;Bom Jardim;2102002;40660;770.980,33;Sem Previsão;21;0
RJ;Casimiro de Abreu;3301306;40305;842.187,31;Sem Previsão;36;0
RJ;Engenheiro Paulo de Frontin;3301801;13626;352.575,00;Concluída;11;0
RJ;Itaocara;3302106;22779;709.169,31;Sem Previsão;23;0
RJ;Maricá;3302700;146549;477.934,00;Em andamento;19;0
RJ;Miguel Pereira;3302908;24842;1.387.111,83;Sem Previsão;14;0
RJ;Paraíba do Sul;3303708;42356;1.267.858,79;Sem Previsão;35;0
RJ;Paraty;3303807;40478;1.050.686,93;Sem Previsão;39;0
RJ;Piraí;3304003;27838;907.753,83;Sem Previsão;27;0
RJ;Santo Antônio de Pádua;3304706;41178;1.338.880,40;Sem Previsão;39;0
RJ;São Francisco de Itabapoana;3304755;41291;610.044,96;Sem Previsão;17;0
RJ;São João da Barra;3305000;34583;547.505,97;Sem Previsão;18;0
RJ;São José do Vale do Rio Preto;3305158;20916;600.951,92;Em andamento;16;0
RJ;Silva Jardim;3305604;21307;859.484,40;Sem Previsão;21;0
RJ;Vassouras;3306206;35432;1.200.224,81;Sem Previsão;22;0
RN;Baía Formosa;2401404;9182;528.313,59;Sem Previsão;26;0
RN;Frutuoso Gomes;2404002;4228;303.633,93;Sem Previsão;15;28.697,46
RN;Ipanguaçu;2404705;15147;467.851,15;Sem Previsão;15;46.205,77
RN;Jaçanã;2405009;8827;624.127,83;Sem Previsão;26;0
RN;Lajes;2406700;11151;577.091,88;Sem Previsão;20;0
RN;Portalegre;2410207;7811;434.838,27;Sem Previsão;12;43.877,59
RN;Riachuelo;2410900;7863;478.919,64;Sem Previsão;11;46.447,44
RN;Santana do Matos;2411403;13605;577.091,88;Sem Previsão;20;54.084,85
RN;São João do Sabugi;2412104;6218;411.047,68;Concluída;13;139.501,10
RO;Buritis;1100452;37838;1.035.208,77;Sem Previsão;25;0
RO;Guajará-Mirim;1100106;46632;1.132.841,73;Sem Previsão;14;0
RR;Rorainópolis;1400472;27288;1.038.572,22;Sem Previsão;21;0
RS;Caçapava do Sul;4302808;34654;1.305.619,56;Sem Previsão;47;0
RS;Candelária;4304200;31476;565.686,00;Em andamento;19;0
RS;Canela;4304408;42411;880.570,72;Sem Previsão;27;0
RS;Cerro Grande do Sul;4305173;11263;441.659,08;Sem Previsão;12;0
RS;Fontoura Xavier;4308300;10888;488.185,40;Sem Previsão;14;0
RS;Igrejinha;4310108;34341;1.204.058,72;Sem Previsão;21;0
RS;Itaqui;4310603;39088;1.471.652,94;Sem Previsão;39;0
RS;Jari;4311130;3655;234.752,50;Concluída;5;189.134,16
RS;Não-Me-Toque;4312658;16997;566.980,26;Concluída;18;530.358,64
RS;Nova Bassano;4312906;9478;382.013,20;Em andamento;11;0
RS;Rio Pardo;4315701;38934;1.205.607,46;Sem Previsão;31;0
RS;Rolante;4316006;20712;855.245,34;Sem Previsão;20;0
RS;Rosário do Sul;4316402;40773;1.116.548,04;Sem Previsão;28;0
RS;Santo Ângelo;4317509;78976;1.024.440,40;Concluída;35;958.295,60
RS;São José do Norte;4318507;26977;715.597,52;Sem Previsão;26;0
RS;São Miguel das Missões;4319158;7728;464.730,35;Concluída;15;422.459,60
SC;Araquari;4201307;32454;502.951,30;Sem Previsão;12;0
SC;Curitibanos;4204806;39231;1.425.445,82;Sem Previsão;31;0
SC;Guaramirim;4206504;40878;791.902,62;Sem Previsão;17;0
SC;Joaçaba;4209003;29008;597.782,80;Concluída;18;568.129,52
SC;São Francisco do Sul;4216206;48606;765.171,04;Sem Previsão;16;0
SC;São Joaquim;4216503;26247;777.440,24;Sem Previsão;14;0
SE;Nossa Senhora da Glória;2804508;35726;907.385,17;Sem Previsão;29;83.271,50
SE;Pacatuba;2309706;80378;547.876,31;Sem Previsão;21;0
SE;Riachão do Dantas;2805802;19976;473.310,93;Sem Previsão;21;0
SE;Tobias Barreto;2807402;51375;829.388,43;Sem Previsão;36;0
SP;Apiaí;3502705;25211;957.039,36;Concluída;35;958.073,92
SP;Araçoiaba da Serra;3502903;31321;1.625.187,54;Sem Previsão;22;0
SP;Barra do Chapéu;3505351;5585;335.161,32;Concluída;11;260.844,47
SP;Boituva;3507001;55725;1.391.367,12;Sem Previsão;44;0
SP;Cachoeira Paulista;3508603;32294;935.119,68;Sem Previsão;27;0
SP;Casa Branca;3510807;29877;621.901,86;Em andamento;21;0
SP;Conchal;3512209;27132;1.135.692,68;Sem Previsão;39;0
SP;Descalvado;3513702;32980;451.240,30;Em andamento;16;0
SP;Espírito Santo do Pinhal;3515186;43897;1.661.169,74;Sem Previsão;47;0
SP;Guararapes;3518206;32346;831.691,60;Concluída;26;772.690,54
SP;Guareí;3518503;16867;505.817,04;Sem Previsão;18;50.581,71
SP;Ibaté;3519303;33535;1.584.846,88;Sem Previsão;34;162.167,00
SP;Ituverava;3524105;40994;1.448.262,92;Sem Previsão;28;0
SP;Jales;3524808;48922;1.705.825,26;Sem Previsão;42;0
SP;Jarinu;3525201;27473;1.277.621,82;Sem Previsão;28;0
SP;Lourdes;3527256;2249;438.445,29;Concluída;15;354.671,92
SP;Louveira;3527306;43862;1.204.519,24;Sem Previsão;17;0
SP;Mairinque;3528403;46015;1.390.757,84;Sem Previsão;23;0
SP;Miracatu;3529906;20533;652.792,68;Sem Previsão;17;0
SP;Mirante do Paranapanema;3530201;17979;610.647,24;Sem Previsão;24;0
SP;Orlândia;3534302;42678;1.595.135,44;Sem Previsão;58;0
SP;Pederneiras;3536703;44910;1.516.904,64;Sem Previsão;51;0
SP;Penápolis;3537305;62071;702.701,56;Concluída;21;0
SP;Presidente Epitácio;3541307;43535;584.153,42;Concluída;16;245.305,00
SP;Presidente Venceslau;3541505;39407;1.347.227,08;Sem Previsão;42;0
SP;Promissão;3541604;38764;864.957,78;Sem Previsão;30;0
SP;Santa Gertrudes;3546702;24737;730.256,00;Concluída;25;674.964,22
SP;São Joaquim da Barra;3549409;50110;1.536.581,60;Sem Previsão;22;0
SP;São Manuel;3550100;40367;1.119.305,92;Sem Previsão;26;0
SP;São Pedro;2412708;6216;1.015.248,54;Sem Previsão;10;0
SP;Serrana;3551504;42784;1.199.583,92;Sem Previsão;47;0
SP;Socorro;3552106;39565;740.416,36;Concluída;24;711.125,40
SP;Tietê;3554508;40194;1.980.602,66;Sem Previsão;44;0
SP;Valparaíso;3556305;24993;978.516,72;Sem Previsão;23;0
SP;Vargem Grande do Sul;3556404;41807;1.525.640,54;Sem Previsão;47;0
TO;Paraíso do Tocantins;1716109;49076;1.872.693,90;Sem Previsão;49;0
TO;Ponte Alta do Bom Jesus;1717800;4649;251.266,44;Sem Previsão;9;23.969,90
TO;Porto Nacional;1718204;52182;1.101.168,76;Sem Previsão;61;0
TO;São Miguel do Tocantins;1720200;11597;592.549,70;Sem Previsão;20;0
